2360898	 1720.0	 1135.0	  844.0	...
2360899	 1720.0	 1136.0	  844.0	...
2360900	 1720.0	 1137.0	  844.0	...
2360901	 1720.0	 1137.0	  844.0	...
2360902	 1721.0	 1135.0	  844.0	...
2360903	 1721.0	 1133.0	  844.0	...
2360904	 1721.0	 1133.0	  844.0	...
2360905	 1721.0	 1134.0	  844.0	...
2360906	 1722.0	 1134.0	  844.0	...
2360907	 1722.0	 1135.0	  844.0	...
2360908	 1723.0	 1135.0	  843.0	...
2360909	 1723.0	 1136.0	  842.0	...
2360910	 1723.0	 1136.0	  842.0	...
2360911	 1723.0	 1136.0	  843.0	...
2360912	 1722.0	 1137.0	  844.0	...
2360913	 1722.0	 1139.0	  845.0	...
2360914	 1722.0	 1140.0	  845.0	...
2360915	 1723.0	 1140.0	  844.0	...
2360916	 1723.0	 1140.0	  844.0	...
2360917	 1724.0	 1140.0	  845.0	...
2360918	 1724.0	 1140.0	  845.0	...
2360919	 1724.0	 1140.0	  844.0	...
2360920	 1724.0	 1140.0	  843.0	...
2360921	 1724.0	 1141.0	  843.0	...
2360922	 1723.0	 1141.0	  842.0	...
2360923	 1723.0	 1141.0	  841.0	...
2360924	 1724.0	 1141.0	  841.0	...
2360925	 1724.0	 1141.0	  841.0	...
2360926	 1724.0	 1141.0	  840.0	...
2360927	 1724.0	 1140.0	  839.0	...
2360928	 1723.0	 1139.0	  838.0	...
2360929	 1723.0	 1139.0	  837.0	...
2360930	 1722.0	 1138.0	  837.0	...
2360931	 1722.0	 1138.0	  837.0	...
2360932	 1722.0	 1138.0	  837.0	...
2360933	 1722.0	 1139.0	  837.0	...
2360934	 1722.0	 1139.0	  838.0	...
2360935	 1721.0	 1138.0	  838.0	...
2360936	 1721.0	 1137.0	  835.0	...
2360937	 1720.0	 1137.0	  833.0	...
2360938	 1720.0	 1136.0	  830.0	...
2360939	 1720.0	 1135.0	  831.0	...
2360940	 1720.0	 1135.0	  831.0	...
2360941	 1719.0	 1137.0	  831.0	...
2360942	 1718.0	 1138.0	  831.0	...
2360943	 1719.0	 1138.0	  830.0	...
2360944	 1719.0	 1137.0	  829.0	...
2360945	 1720.0	 1137.0	  827.0	...
2360946	 1720.0	 1137.0	  827.0	...
2360947	 1721.0	 1138.0	  827.0	...
MSG	2360948 RECORDING_START 100.683
MSG	2360948 TRIALID A_MB01_T002
MSG	2360948 TRIAL_START mini_block=1 trial_in_block=2 trial_type=image polygon_id=pair_C2_01
MSG	2360948 !V TRIAL_VAR trial_uid A_MB01_T002
MSG	2360948 !V TRIAL_VAR mini_block 1
MSG	2360948 !V TRIAL_VAR trial_in_block 2
MSG	2360948 !V TRIAL_VAR trial_type image
MSG	2360948 ERROR MESSAGES LOST 5
MSG	2360948 !V TRIAL_VAR cue_y_px 540.0
MSG	2360948 !V TRIAL_VAR image_id A_Satelite_097
MSG	2360948 !V TRIAL_VAR category Satelite
MSG	2360948 !V IAREA CIRCLE 1 center_screen 1920.0 1080.0 157.0
2360948	 1721.0	 1138.0	  827.0	...
2360949	 1720.0	 1137.0	  827.0	...
